"option_d_uk","question_ru","option_b_uk","correct_answer","option_a_en","question_pl","option_b_ru","option_c_uz","option_d_ru","option_a_uz","option_c_en","option_b_pl","option_d_pl","question_en","option_c_uk","question_uz","option_a_uk","option_b_en","option_d_uz","option_a_ru","option_c_ru","option_d_en","option_b_uz","question_uk","option_c_pl","option_a_pl","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Торунь","В каком польском городе родился Николай Коперник?","Варшава","D","Krakow","W którym polskim mieście urodził się Mikołaj Kopernik?","Варшава","Gdansk","Торунь","Krakov","Gdansk","Warszawa","Toruń","In which Polish city was Nicolaus Copernicus born?","Гданськ","Nikolay Kopernik Polshaning qaysi shahrida tug'ilgan?","Краків","Warsaw","Torun","Краков","Гданьск","Torun","Varshava","У якому польському місті народився Микола Коперник?","Gdańsk","Kraków","6a5b4a4130ee48091b30f2dd","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Пеніни","Какие горы на юго-востоке Польши славятся своими дикими пейзажами и полонинами?","Бещади (Bieszczady)","B","Tatra Mountains","Które góry w południowo-wschodniej Polsce słyną z dzikich krajobrazów i łąk?","Бещады (Bieszczady)","Karkonosze","Пенины","Tatra tog'lari","Karkonosze","Bieszczady","Pieniny","Which mountains in southeastern Poland are famous for their wild landscapes and meadows?","Карконоше","Polshaning janubi-sharqidagi qaysi tog'lar o'zining yovvoyi landshaftlari va o'tloqlari bilan mashhur?","Татри","Bieszczady Mountains","Penini","Татры","Карконоше","Peniny","Bieszczady tog'lari","Які гори на південному сході Польщі славляться своїми дикими краєвидами та полонинами?","Karkonosze","Tatry","6a5b4a4130ee48091b30f2de","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Золотий орел на зеленому тлі","Как выглядит польский герб?","Червоний лев на білому тлі","A","White eagle with a crown on a red background","Jak wygląda godło Polski","Красный лев на белом фоне","Moviy fonda oq ayiq","Золотой орел на зеленом фоне","Qizil fonda tojli oq burgut","Polar bear on a blue background","Czerwony lew na białym tle","Orzeł przedni na zielonym tle","What does the Polish coat of arms look like?","Білий ведмідь на блакитному тлі.","Polsha gerbi qanday ko'rinishga ega?","Білий орел з короною на червоному тлі","Red lion on a white background","Yashil fonda oltin burgut","Белый орел с короной на красном фоне","Белый медведь на синем фоне","Golden eagle on a green background","Oq fonda qizil sher","Який вигляд має польський герб?","Niedźwiedź polarny na niebieskim tle","Biały orzeł w koronie na czerwonym tle","6a5b4a4130ee48091b30f27d","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Червоно-синій","Как выглядит польский флаг?","Біло-червоний (згори білий, знизу червоний)","B","Red and white (red on top, white on the bottom)","Jak wygląda flaga Polski?","Бело-красный (сверху белый, снизу красный)","Oq va ko'k","Красно-синий","Qizil va oq (yuqorida qizil, pastki qismida oq)","White and blue","Biało-czerwona (biała na górze, czerwona na dole)","Czerwono-niebieska","What does the Polish flag look like?","Біло-синій","Polsha bayrog'i qanday ko'rinishga ega?","Червоно-білий (згори червоний, знизу білий)","White and red (white on top, red on the bottom)","Qizil va ko'k","Красно-белый (сверху красный, снизу белый)","Бело-синий","Red and blue","Oq va qizil (yuqoridan oq, pastki qismidan qizil)","Який вигляд має польський прапор?","Biało-niebieska","Czerwono-biała (czerwona na górze, biała na dole)","6a5b4a4130ee48091b30f27e","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"1791 рік","Дата крещения Польши?","1025 рік","A","966","Data chrztu Polski?","1025 год","1410-yil","1791 год","966","1410","1025","1791","Date of the baptism of Poland?","1410 рік","Polsha suvga cho'mdirilgan sana?","966 рік","1025","1791-yil","966 год","1410 год","1791","1025","Дата хрещення Польщі?","1410","966","6a5b4a4130ee48091b30f27f","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Warszawianka","Польский гимн называется...","Bogurodzica","C","Rota","Polskim hymnem narodowym jest...","Bogurodzica","Mazurek Dąbrowskiego","Warszawianka","Rota","Mazurek Dąbrowskiego","Bogurodzica","Warszawianka","The Polish anthem is called...","Mazurek Dąbrowskiego","Polsha madhiyasi ... deb ataladi.","Rota","Bogurodzica","Varszawianka","Rota","Mazurek Dąbrowskiego","Varszawianka","Bogurodzica","Польський гімн називається...","Mazurek Dąbrowskiego","Rota","6a5b4a4130ee48091b30f280","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"День вчителя","Какой из перечисленных праздников является государственным праздником Польши?","День святого Валентина","A","Constitution Day, May 3","Które z poniższych świąt jest świętem państwowym w Polsce?","День святого Валентина","Onalar kuni","День учителя","Konstitutsiya kuni, 3-may","Mother's Day","Walentynki","Dzień Nauczyciela","Which of the following holidays is a public holiday in Poland?","День матері","Quyidagi bayramlarning qaysi biri Polshada davlat bayrami hisoblanadi?","День Конституції 3 травня","Valentine's Day","O'qituvchilar kuni","День Конституции 3 мая","День матери","Teacher's Day","sevishganlar kuni","Яке з перерахованих свят є державним святом Польщі?","Dzień Matki","Dzień Konstytucji 3 maja","6a5b4a4130ee48091b30f281","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"День праці","Какой праздник является одним из главных католических праздников в Польше?","Хелловін","A","Easter","Które święto jest jednym z głównych świąt katolickich w Polsce?","Хэллоуин","Mustaqillik kuni","День труда","Pasxa","independence Day","Halloween","Dzień Pracy","What holiday is one of the main Catholic holidays in Poland?","День незалежності","Polshadagi asosiy katolik bayramlaridan biri qaysi bayram?","Великдень","Halloween","Ishchilar kuni","Пасха","День независимости","Labor Day","Xellouin","Яке свято є одним із головних католицьких свят у Польщі?","Dzień Niepodległości","Wielkanoc","6a5b4a4130ee48091b30f282","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Октоберфест","Какая традиция характерна для Польши?","День подяки","A","Śmigus-Dyngus (Easter Monday water pouring)","Jaka tradycja jest typowa dla Polski?","День благодарения","Riodagi karnaval","Октоберфест","Śmigus-Dyngus (Pasxa dushanba kuni suv quyish)","Carnival in Rio","Dzień Dziękczynienia","Oktoberfest","What tradition is typical for Poland?","Карнавал у Ріо","Polsha uchun qaysi an'ana xos?","Śmigus-Dyngus (обливання водою у Великодній понеділок)","Thanksgiving Day","Oktoberfest","Śmigus-Dyngus (обливание водой в Пасхальный понедельник)","Карнавал в Рио","Oktoberfest","Minnatdorchilik kuni","Яка традиція є характерною для Польщі?","Karnawał w Rio","Śmigus-Dyngus (polewanie wodą w Poniedziałek Wielkanocny)","6a5b4a4130ee48091b30f283","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Том-ям","Какое из блюд является традиционно польским?","Бігос","B","Sushi","Które danie jest tradycyjnie polskie?","Бигос","Paella","Том-ям","Sushi","Paella","Bigos","Tom-yum","Which dish is traditionally Polish?","Паелья","Qaysi taom an'anaviy ravishda Polsha taomi hisoblanadi?","Суші","Bigos","Tom-yum","Суши","Паэлья","Tom-yum","Bigos","Яка із страв є традиційно польською?","Paella","Sushi","6a5b4a4130ee48091b30f284","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Thomas Едісон","Кто из перечисленных является польским лауреатом Нобелевской премии?","Альберт Ейнштейн","A","Marie Skłodowska-Curie","Kto jest laureatem/-tką nagrody Nobla","Альберт Эйнштейн","Niels Bor","Thomas Эдисон","Mari Sklodovska-Kyuri","Niels Bohr","Albert Einstein","Thomas Edison","Who of the following is a Polish Nobel Prize laureate?","Нільс Бор","Quyidagilardan qaysi biri Polsha Nobel mukofoti laureati?","Марія Склодовська-Кюрі","Albert Einstein","Tomas Edison","Мария Склодовская-Кюри","Нильс Бор","Thomas Edison","Albert Eynshteyn","Хто із перерахованих є польським лауреатом Нобелівської премії?","Niels Bohr","Maria Skłodowska-Curie","6a5b4a4130ee48091b30f285","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Олень","Какое животное считается символом Беловежской пущи?","Вовк","C","Elk","Jakie zwierzę jest uważane za symbol Puszczy Białowieskiej?","Волк","Bizon","Олень","Bug'u","Bison","Wilk","Jeleń","What animal is considered the symbol of Belovezhskaya Pushcha?","Зубр","Qaysi hayvon Belovejskaya Pushchaning ramzi hisoblanadi?","Лось","Wolf","Kiyik","Лось","Зубр","Deer","Bo'ri","Яка тварина вважається символом Біловезької пущі?","Bizon","Jeleń kanadyjski","6a5b4a4130ee48091b30f286","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Антоніо Вівальді","Кто из перечисленных является известным польским композитором?","Людвіг ван Бетховен","A","Fryderyk Chopin","Kto jest znanym polskim kompozytorem?","Людвиг ван Бетховен","Volfgang Amadeus Motsart","Антонио Вивальди","Frederik Shopen","Wolfgang Amadeus Mozart","Ludwig van Beethoven","Antonio Vivaldi","Which of the following is a famous Polish composer?","Вольфганг Амадей Моцарт","Quyidagilardan qaysi biri mashhur polshalik bastakor?","Фрідерік Шопен","Ludwig van Beethoven","Antonio Vivaldi","Фридерик Шопен","Вольфганг Амадей Моцарт","Antonio Vivaldi","Lyudvig van Betxoven","Хто із перелічених є відомим польським композитором?","Wolfgang Amadeusz Mozart","Fryderyk Chopin","6a5b4a4130ee48091b30f287","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Мартін Скорсезе","Кто из перечисленных является известным польским кинорежиссёром?","Стівен Спілберг","A","Andrzej Wajda","Kto jest znanym polskim reżyserem filmowym?","Стивен Спилберг","Kristofer Nolan","Мартин Скорсезе","Andjey Vajda","Christopher Nolan","Steven Spielberg","Martin Scorsese","Which of the following is a famous Polish film director?","Крістофер Нолан","Quyidagilardan qaysi biri mashhur polshalik kinorejissyor?","Анджей Вайда","Steven Spielberg","Martin Skorseze","Анджей Вайда","Кристофер Нолан","Martin Scorsese","Stiven Spilberg","Хто з перелічених є відомим польським кінорежисером?","Christopher Nolan","Andrzej Wajda","6a5b4a4130ee48091b30f288","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"У Гданську","Где, согласно легенде, жил Вавельский дракон?","У Познані","C","In Warsaw","Gdzie według legendy mieszkał Smok Wawelski?","В Познани","Krakovda","В Гданьске","Varshavada","In Krakow","W Poznaniu","W Gdańsku","Where did the Wawel Dragon live, according to legend?","У Кракові","Afsonaga ko'ra, Wawel ajdaho qayerda yashagan?","У Варшаві","In Poznan","Gdanskda","В Варшаве","В Кракове","In Gdansk","Poznan shahrida","Де, за легендою, жив Вавельський дракон?","W Krakowie","W Warszawie","6a5b4a4130ee48091b30f289","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Млинці","Что традиционно едят в Tłusty Czwartek (Жирный четверг)?","Пончики (pączki)","B","Pizza","Co tradycyjnie jada się w Tłusty Czwartek?","Пончики (pączki)","Vareniki","Блины","Pitsa","Vareniki","Pączki","Naleśniki","What is traditionally eaten on Tłusty Czwartek (Fat Thursday)?","Вареники","Tłusty Czwartek (Semiz Payshanba) da an'anaviy ravishda nima yeyiladi?","Піцу","Doughnuts (pączki)","Pancakes","Пиццу","Вареники","Pancakes","Doughnuts (pączki)","Що традиційно їдять у Tłusty Czwartek (Жирний четвер)?","Pierogi","Pizza","6a5b4a4130ee48091b30f28a","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Лазання","Какое из перечисленных блюд является традиционно польским?","Солянка","C","Hot dog","Które z poniższych dań jest typowo polskie?","Солянка","Bigos","Лазанья","Xot-dog","Bigos","Solanka","Lasagne","Which of the following dishes is traditionally Polish?","Бігос","Quyidagi taomlarning qaysi biri an'anaviy ravishda Polsha taomlari hisoblanadi?","Хот-дог","Solyanka","Lazanya","Хот-дог","Бигос","Lasagna","Solyanka","Яка з перерахованих страв є традиційно польською?","Bigos","Hot dog","6a5b4a4130ee48091b30f28b","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"День захисту дітей","Какой праздник отмечается в Польше 1 ноября?","День Незалежності","C","Constitution Day","Jakie święto obchodzone jest w Polsce 1 listopada?","День Независимости","Barcha avliyolar kuni","День защиты детей","Konstitutsiya kuni","All Saints' Day","Dzień Niepodległości","Dzień Dziecka","What holiday is celebrated in Poland on November 1st?","День Усіх Святих","1-noyabr kuni Polshada qanday bayram nishonlanadi?","День Конституції","Independence Day","Bolalar kuni","День Конституции","День Всех Святых","Children's Day","Mustaqillik kuni","Яке свято відзначається у Польщі 1 листопада?","Dzień Wszystkich Świętych","Dzień Konstytucji","6a5b4a4130ee48091b30f28c","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Козел","Кто из перечисленных связан с Краковом?","Русалонька","A","The Wawel Dragon","Która z poniższych postaci jest związana z Krakowem?","Русалочка","Neptun","Козёл","Wawel Ajdaho","Neptune","Mała Syrenka","Koza","Who of the following is associated with Krakow?","Нептун","Quyidagilardan qaysi biri Krakov bilan bog'liq?","Вавельський дракон","The Little Mermaid","Echki","Вавельский дракон","Нептун","Goat","Kichik suv parisi","Хто з перерахованих пов'язаний із Краковом?","Neptun","Smok Wawelski","6a5b4a4130ee48091b30f28d","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Ернест Хемінгуей","Кто из перечисленных является известным польским писателем?","Лев Толстой","A","Adam Mickiewicz","Kto jest znanym polskim pisarzem?","Лев Толстой","Viktor Gyugo","Эрнест Хемингуэй","Adam Mickiewicz","Victor Hugo","Lew Tołstoj","Ernest Hemingway","Who of the following is a famous Polish writer?","Віктор Гюго","Quyidagilardan qaysi biri mashhur polyak yozuvchisi?","Адам Міцкевич","Leo Tolstoy","Ernest Xeminguey","Адам Мицкевич","Виктор Гюго","Ernest Hemingway","Leo Tolstoy","Хто із перелічених є відомим польським письменником?","Wiktor Hugo","Adam Mickiewicz","6a5b4a4130ee48091b30f28e","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Dożynki","Какая из перечисленных польских традиций связана с освящением пасхальной корзины?","Andrzejki","A","Święconka","Która z poniższych polskich tradycji jest związana ze święceniem wielkanocnego koszyka?","Andrzejki","Wianki","Dożynki","Święconka","Wianki","Andrzejki","Dożynki","Which of the following Polish traditions is associated with the blessing of the Easter basket?","Wianki","Quyidagi Polsha an'analaridan qaysi biri Pasxa savatini duo qilish bilan bog'liq?","Święconka","Andrzejki","Dożynki","Święconka","Wianki","Dożynki","Andjeyki","Яка з перелічених польських традицій пов'язана із освяченням великоднього кошика?","Wianki","Święconka","6a5b4a4130ee48091b30f28f","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Владислав Ягайло","Кто был первым королём Польши?","Мішко I","A","Bolesław I the Brave","Kto był pierwszym królem Polski?","Мешко I","Buyuk Kazimir III","Владислав Ягайло","Boleslav I Jasur","Casimir III the Great","Mieszko I","Władysław Jagiełło","Who was the first king of Poland?","Казимир III Великий","Polshaning birinchi qiroli kim bo'lgan?","Болеслав I Хоробрий (Bolesław Chrobry)","Mieszko I","Vladislav Yagiello","Болеслав I Храбрый (Bolesław Chrobry)","Казимир III Великий","Vladislav Jagiello","Meshko I","Хто був першим королем Польщі?","Kazimierz III Wielki","Bolesław I Chrobry","6a5b4a4130ee48091b30f290","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Заснування Кракова","Что предусматривал Статут Болеслава Кривоустого (1138 г.)?","Поділ Польщі між синами князя","B","Adoption of the Constitution","Co przewidywał Statut Bolesława Krzywoustego (1138)?","Раздел Польши между сыновьями князя","Polshaning suvga cho'mishi","Основание Кракова","Konstitutsiyaning qabul qilinishi","Baptism of Poland","Podział Polski między synów księcia","Założenie Krakowa","What did the Statute of Bolesław the Wrymouth (1138) provide for?","Хрещення Польщі","Boleslav Vimouth Statuti (1138) nimani nazarda tutgan?","Ухвалення Конституції","The division of Poland between the prince's sons","Krakovning tashkil topishi","Принятие Конституции","Крещение Польши","The founding of Krakow","Polshaning shahzodaning o'g'illari o'rtasida bo'linishi","Що передбачав Статут Болеслава Кривоустого (1138)?","Chrzest Polski","Przyjęcie Konstytucji","6a5b4a4130ee48091b30f291","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Був убитий татарами","Согласно легенде, как погиб князь Попель?","Був з'їдений мишами у вежі","B","In the battle with the Germans","Jak według legendy zmarł książę Popiel?","Был съеден мышами в башне","Vistulada cho'kib ketdi","Был убит татарами","Nemislar bilan jangda","Drowned in the Vistula","Został zjedzony przez myszy w wieży","Został zabity przez Tatarów","According to legend, how did Prince Popel die?","Потонув у Віслі","Afsonaga ko'ra, shahzoda Pop qanday vafot etgan?","У битві з німцями","Was eaten by mice in the tower","U tatarlar tomonidan o'ldirilgan","В битве с немцами","Утонул в Висле","He was killed by the Tatars","Minorada sichqonlar tomonidan yeb qo'yilgan","За легендою, як загинув князь Попель?","Utonął w Wiśle","W bitwie z Niemcami","6a5b4a4130ee48091b30f292","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Архієпископом Гнезно","Кем был Пяст Колодзей?","Легендарним предком династії Пястів","B","Polish King","Kim był Piast Kołodziej?","Легендарным предком династии Пястов","Polsha qo'mondoni","Архиепископом Гнезно","Polsha qiroli","Polish commander","Legendarnym przodkiem dynastii Piastów","Arcybiskupem gnieźnieńskim","Who was Piast Kolodziej?","Польським полководцем","Pyast Kolodziej kim edi?","Польським королем","The legendary ancestor of the Piast dynasty","Gniezno arxiyepiskopi","Польским королём","Польским полководцем","Archbishop of Gniezno","Piast sulolasining afsonaviy ajdodi","Ким був Пяст Колодзей?","Polskim dowódcą","Polskim królem","6a5b4a4130ee48091b30f293","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Був королем Польщі","Чем знаменит Ян Матейко?","Був художником","B","He was a composer.","Kim był Jan Matejko?","Был художником","U astronom edi.","Был королём Польши","U bastakor edi.","He was an astronomer.","Artystą","Królem Polski","What is Jan Matejko famous for?","Був астрономом","Yan Matejko nima bilan mashhur?","Був композитором","He was an artist","U Polsha qiroli edi.","Был композитором","Был астрономом","He was the King of Poland.","U rassom edi","Чим відомий Ян Матейко?","Astronomem","Kompozytorem","6a5b4a4130ee48091b30f294","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Переміг у битві під Грюнвальдом","Чем прославился Николай Коперник?","Створив геліоцентричну систему світу","B","Posted by ""Pan Tadeusz""","Z czego zasłynął Mikołaj Kopernik?","Создал гелиоцентрическую систему мира","U Polshaning birinchi prezidenti edi.","Победил в битве под Грюнвальдом","""Pan Tadeusz"" tomonidan joylashtirildi","He was the first president of Poland.","Stworzył heliocentryczny system świata","Wygrał bitwę pod Grunwaldem","What was Nicolaus Copernicus famous for?","Був першим президентом Польщі","Nikolay Kopernik nima bilan mashhur bo'lgan?","Написав «Пан Тадеуш»","Created a heliocentric system of the world","Grunvald jangida g'alaba qozondi","Написал «Пан Тадеуш»","Был первым президентом Польши","Won the Battle of Grunwald","Dunyoning geliotsentrik tizimini yaratdi","Чим уславився Микола Коперник?","Był pierwszym prezydentem Polski.","Napisał ""Pana Tadeusza""","6a5b4a4130ee48091b30f295","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Ян III Собеський","С каким королём связано выражение «Застал Польшу деревянной, а оставил каменной»?","Казимир III Великий","B","Boleslav the Brave","Który król ""zastał polskę drewnianą a zostawił murowaną""?","Казимир III Великий","Vladislav Loketek","Ян III Собеский","Boleslav Jasur","Vladislav Loketek","Kazimierz III Wielki","Jan III Sobieski","Which king is associated with the expression ""He found Poland wooden and left it stone""?","Владислав Локетек","""U Polshani yog'ochdan topdi va toshdan qoldirdi"" iborasi qaysi qirol bilan bog'liq?","Болеслав Хоробрий","Casimir III the Great","Yanvar III Sobieski","Болеслав Храбрый","Владислав Локетек","Jan III Sobieski","Buyuk Kazimir III","З яким королем пов'язаний вислів «Застав Польщу дерев'яною, а залишив кам'яною»?","Władysław Łokietek","Bolesław Chrobry","6a5b4a4130ee48091b30f296","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Переміг під Віднем","Чем известен Казимир III Великий?","Провів реформи та активно розвивав будівництво міст та замків","B","Accepted the baptism of Poland","Z czego słynął Kazimierz III Wielki?","Провёл реформы и активно развивал строительство городов и замков","Yagellon sulolasiga asos solgan","Победил под Веной","Polshaning suvga cho'mishini qabul qildi","Founded the Jagiellonian dynasty","Przeprowadził reformy i aktywnie rozwijał budowę miast i zamków","Zwycięstwo w Wiedniu","What is Casimir III the Great famous for?","Заснував династію Ягеллонів","Buyuk Kazimir III nima bilan mashhur?","Прийняв хрещення Польщі","He carried out reforms and actively developed the construction of cities and castles","Vena shahrida g'alaba qozondi","Принял крещение Польши","Основал династию Ягеллонов","Victorious at Vienna","U islohotlar o'tkazdi va shaharlar va qal'alar qurilishini faol rivojlantirdi","Чим відомий Казимир ІІІ Великий?","Założyciel dynastii Jagiellonów","Przyjął chrzest Polski","6a5b4a4130ee48091b30f297","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Повстання козаків","Что называют «Шведским потопом»?","Війну між Польщею та Швецією 1655–1660 років","B","Flooding in Sweden","Co nazywa się ""potopem szwedzkim""?","Войну между Польшей и Швецией 1655–1660 годов","Boltiq dengizidagi dengiz jangi","Восстание казаков","Shvetsiyada suv toshqini","Naval battle in the Baltic","Wojna między Polską a Szwecją 1655–1660","Powstanie Kozackie","What is called the ""Swedish Flood""?","Морська битва на Балтиці","""Shvetsiya suv toshqini"" nima deb ataladi?","Повінь у Швеції","War between Poland and Sweden 1655–1660","Kazaklar qo'zg'oloni","Наводнение в Швеции","Морское сражение на Балтике","Cossack Uprising","Polsha va Shvetsiya o'rtasidagi urush 1655–1660","Що називають ""Шведським потопом""?","Bitwa morska na Bałtyku","Powódź w Szwecji","6a5b4a4130ee48091b30f298","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"1795 рік","Когда произошёл Первый раздел Речи Посполитой?","1791 рік","A","1772","Kiedy nastąpił I rozbiór Rzeczypospolitej Obojga Narodów?","1791 год","1793-yil","1795 год","1772-yil","1793","1791","1795","When did the First Partition of the Polish-Lithuanian Commonwealth occur?","1793 рік","Polsha-Litva Hamdo'stligining birinchi bo'linishi qachon sodir bo'lgan?","1772 рік","1791","1795-yil","1772 год","1793 год","1795","1791-yil","Коли відбувся Перший поділ Речі Посполитої?","1793","1772","6a5b4a4130ee48091b30f299","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Росія, Швеція та Данія","Какие государства участвовали в разделах Польши?","Росія, Пруссія та Австрія","B","France, Spain, England","Które państwa brały udział w rozbiorach Polski?","Россия, Пруссия и Австрия","Germaniya, Italiya va Turkiya","Россия, Швеция и Дания","Fransiya, Ispaniya, Angliya","Germany, Italy and Türkiye","Rosja, Prusy i Austria","Rosja, Szwecja i Dania","Which states participated in the partitions of Poland?","Німеччина, Італія та Туреччина","Polshaning bo'linishida qaysi davlatlar ishtirok etgan?","Франція, Іспанія, Англія","Russia, Prussia and Austria","Rossiya, Shvetsiya va Daniya","Франция, Испания, Англия","Германия, Италия и Турция","Russia, Sweden and Denmark","Rossiya, Prussiya va Avstriya","Які держави брали участь у розділах Польщі?","Niemcy, Włochy i Turcja","Francja, Hiszpania, Anglia","6a5b4a4130ee48091b30f29a","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Казимир III Великий","Кто был последним королём Польши?","Станіслав Август Понятовський","B","Jan III Sobieski","Kto był ostatnim królem Polski?","Станислав Август Понятовский","Vladislav Yagiello","Казимир III Великий","Yanvar III Sobieski","Vladislav Jagiello","Stanisław August Poniatowski","Kazimierz III Wielki","Who was the last king of Poland?","Владислав Ягайло","Polshaning oxirgi qiroli kim bo'lgan?","Ян III Собеський","Stanislav August Poniatowski","Buyuk Kazimir III","Ян III Собеский","Владислав Ягайло","Casimir III the Great","Stanislav Avgust Poniatovskiy","Хто був останнім королем Польщі?","Władysław Jagiełło","Jan III Sobieski","6a5b4a4130ee48091b30f29b","2026-07-18T09:41:21.417000","2026-07-18T09:41:21.417000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
