"option_d_uk","question_ru","option_b_uk","correct_answer","option_a_en","question_pl","option_b_ru","option_c_uz","option_d_ru","option_a_uz","option_c_en","option_b_pl","option_d_pl","question_en","option_c_uk","question_uz","option_a_uk","option_b_en","option_d_uz","option_a_ru","option_c_ru","option_d_en","option_b_uz","question_uk","option_c_pl","option_a_pl","id","created_date","updated_date","created_by_id","created_by","is_sample"
"АСЕАН","Узбекистан был одним из основателей какой региональной организации безопасности и экономики, учреждённой в Шанхае в 2001 году?","Європейського Союзу","A","The Shanghai Cooperation Organisation","Uzbekistan był jednym z założycieli jakiej regionalnej organizacji bezpieczeństwa i gospodarczej, utworzonej w Szanghaju w 2001 roku?","Европейского Союза","NATO","АСЕАН","Shanxay Hamkorlik Tashkiloti","NATO","Unii Europejskiej","ASEAN","Uzbekistan was one of the founding members of which regional security and economic organization, established in Shanghai in 2001?","НАТО","O'zbekiston 2001-yilda Shanxayda tashkil etilgan qaysi mintaqaviy xavfsizlik va iqtisodiy tashkilotning asoschilaridan biri bo'lgan?","Шанхайської організації співробітництва","The European Union","ASEAN","Шанхайской организации сотрудничества","НАТО","ASEAN","Yevropa Ittifoqi","Узбекистан був одним із засновників якої регіональної організації безпеки та економіки, заснованої в Шанхаї у 2001 році?","NATO","Szanghajskiej Organizacji Współpracy","f89362abac6e495389f225a8","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Свято врожаю","Что такое «бешик-туй» в традиционной узбекской культуре?","Церемонія першого стрижки дитини","A","A ceremony celebrating a newborn being placed in the cradle","Czym jest ""beszik-toj"" w tradycyjnej kulturze uzbeckiej?","Церемония первой стрижки ребёнка","Dafn marosimi","Праздник урожая","Chaqaloqni beshikka solish marosimi","A funeral rite","Ceremonia pierwszego strzyżenia dziecka","Święto plonów","What is ""Beshik-to'yi"" in traditional Uzbek culture?","Похоронний обряд","An'anaviy o'zbek madaniyatida ""beshik to'yi"" nima?","Церемонія, присвячена укладанню новонародженого в колиску","A ceremony marking a child's first haircut","Hosil bayrami","Церемония, посвящённая укладыванию новорождённого в колыбель","Похоронный обряд","A harvest festival","Bolaning birinchi soch olish marosimi","Що таке «бешик-туй» у традиційній узбецькій культурі?","Obrzęd pogrzebowy","Ceremonia świętowania ułożenia noworodka w kołysce","06979f2244044d9ab2846d9c","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Поминальний обряд","Что такое «суннат-туй» в традиционной узбекской культуре?","Свято заручин","A","A celebration marking a boy's circumcision","Czym jest ""sunnat-toj"" w tradycyjnej kulturze uzbeckiej?","Праздник помолвки","Yangi yil bayrami","Поминальный обряд","O'g'il bolaning sunnat qilinishi bayrami","A New Year celebration","Przyjęcie zaręczynowe","Obrzęd upamiętniający","What is ""Sunnat to'yi"" in traditional Uzbek culture?","Святкування Нового року","An'anaviy o'zbek madaniyatida ""sunnat to'yi"" nima?","Свято, присвячене обрізанню хлопчика","A wedding engagement party","Xotira marosimi","Праздник, посвящённый обрезанию мальчика","Празднование Нового года","A funeral commemoration","Fotiha to'yi","Що таке «суннат-туй» у традиційній узбецькій культурі?","Świętowanie Nowego Roku","Święto z okazji obrzezania chłopca","aeafa886022c481fae02b116","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Сурхандар'єю","«Катта ашула» — традиционный вокальный стиль пения без сопровождения, особенно связанный с каким регионом Узбекистана?","Каракалпакстаном","A","The Fergana Valley","""Katta aszula"" to tradycyjny styl śpiewu wokalnego bez akompaniamentu, szczególnie związany z którym regionem Uzbekistanu?","Каракалпакстаном","Xorazm","Сурхандарьей","Farg'ona vodiysi","Khorezm","Karakałpakstanem","Surchandarią","""Katta ashula"" is a traditional unaccompanied vocal singing style especially associated with which region of Uzbekistan?","Хорезмом","Musiqasiz ijro etiladigan an'anaviy vokal uslubi ""Katta ashula"" ayniqsa O'zbekistonning qaysi mintaqasi bilan bog'liq?","Ферганською долиною","Karakalpakstan","Surxondaryo","Ферганской долиной","Хорезмом","Surkhandarya","Qoraqalpog'iston","«Катта ашула» — традиційний вокальний стиль співу без супроводу, особливо пов'язаний з яким регіоном Узбекистану?","Chorezmem","Doliną Fergańską","39b33229eeec4d03af3245c8","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Форма каліграфії","Что означает «шашмаком», признанный ЮНЕСКО объектом нематериального культурного наследия?","Стиль керамічного декору","A","A classical musical genre shared by Uzbek and Tajik culture","Co oznacza ""Szaszmakom"", uznany przez UNESCO za niematerialne dziedzictwo kulturowe?","Стиль керамического декора","An'anaviy kurash usuli","Форма каллиграфии","O'zbek va tojik madaniyatiga xos klassik musiqa janri","A traditional wrestling technique","Styl dekoracji ceramicznej","Forma kaligrafii","""Shashmaqom"", recognized by UNESCO as intangible cultural heritage, refers to what?","Традиційний боротьбний прийом","YuNESKO tomonidan nomoddiy madaniy meros deb tan olingan ""Shashmaqom"" nimani anglatadi?","Класичний музичний жанр, спільний для узбецької та таджицької культури","A style of ceramic decoration","Xattotlik shakli","Классический музыкальный жанр, общий для узбекской и таджикской культуры","Традиционный борцовский приём","A form of calligraphy","Sopol bezash uslubi","Що означає «шашмаком», визнаний ЮНЕСКО об'єктом нематеріальної культурної спадщини?","Tradycyjna technika zapaśnicza","Klasyczny gatunek muzyczny wspólny dla kultury uzbeckiej i tadżyckiej","5600b039a916442da3ab9ac6","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Шість","Сколько струн, судя по названию, имеет традиционный узбекский музыкальный инструмент «дутар»?","Чотири","A","Two","Ile strun, sądząc po nazwie, ma tradycyjny uzbecki instrument muzyczny ""dutar""?","Четыре","Bitta","Шесть","Ikkita","One","Cztery","Sześć","The ""dutar"" is a traditional Uzbek musical instrument with how many strings, as its name suggests?","Одна","Nomidan ko'rinib turibdiki, an'anaviy o'zbek musiqa asbobi ""dutor"" nechta torga ega?","Дві","Four","Oltita","Две","Одна","Six","To'rtta","Скільки струн, судячи з назви, має традиційний узбецький музичний інструмент «дутар»?","Jedna","Dwie","237a980076bd4dfbb57916b9","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Вид ксилофона","Что такое «дойра» в традиционной узбекской музыке?","Духовий інструмент","A","A round frame drum","Czym jest ""doira"" w tradycyjnej muzyce uzbeckiej?","Духовой инструмент","Kamon bilan chalinadigan torli asbob","Вид ксилофона","Yumaloq romkali baraban","A stringed instrument played with a bow","Instrument dęty","Rodzaj ksylofonu","What is a ""doira"" in traditional Uzbek music?","Смичковий струнний інструмент","An'anaviy o'zbek musiqasida ""doira"" nima?","Круглий рамковий барабан","A wind instrument","Ksilofon turi","Круглый рамочный барабан","Смычковый струнный инструмент","A type of xylophone","Puflab chalinadigan asbob","Що таке «дойра» в традиційній узбецькій музиці?","Instrument strunowy smyczkowy","Okrągły bęben ramowy","a8f84cf73f0c4745afecdeba","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Боротьба на льоду","«Купкари» (в соседних странах известна под похожим названием) — традиционный центральноазиатский вид спорта, включающий что?","Стрільба з лука по рухомих мішенях пішки","A","Horseback riders competing to carry a goat carcass to a goal","""Kupkari"" (w sąsiednich krajach znana pod podobną nazwą) to tradycyjny środkowoazjatycki sport polegający na czym?","Стрельба из лука по движущимся мишеням пешком","Daryo bo'ylab suzishda musobaqalashish","Борьба на льду","Ot ustida o'tirgan holda echki go'shtini maqsadga olib borish uchun raqobatlashish","Swimmers racing across a river","Łucznicy rywalizujący pieszo do ruchomych celów","Zapaśnicy rywalizujący na lodzie","""Ko'pkari"" (also known by a similar name in neighboring countries) is a traditional Central Asian sport involving what?","Плавання наввипередки через річку","Qo'shni davlatlarda shunga o'xshash nom bilan tanilgan ""ko'pkari"" nimani o'z ichiga olgan an'anaviy Markaziy Osiyo sport turi?","Верхи на конях доставити тушу козла до мети","Archers competing on foot at moving targets","Muzda kurashish","Отогнать тушу козла до цели верхом на лошади","Плавание наперегонки через реку","Wrestlers competing on ice","Piyoda harakatlanuvchi nishonlarga o'q otish","«Купкарі» (у сусідніх країнах відома під схожою назвою) — традиційний центральноазійський вид спорту, що включає що?","Pływacy ścigający się przez rzekę","Jeźdźcy rywalizujący o przeniesienie tuszy kozy do celu","479893c79d7c46f99f6bf69d","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Садить дерево заради родючості","«Келин салом» — это церемония на традиционной узбекской свадьбе, во время которой невеста делает что?","Розбиває тарілку на удачу","A","Bows and greets the groom's relatives and guests","""Kelin salom"" to ceremonia na tradycyjnym uzbeckim weselu, podczas której panna młoda robi co?","Разбивает тарелку на удачу","Bezatilgan otda qishloq bo'ylab yuradi","Сажает дерево ради плодородия","Kuyov qarindoshlari va mehmonlariga ta'zim qilib salom beradi","Rides a decorated horse through the village","Rozbija talerz na szczęście","Sadzi drzewo dla płodności","""Kelin salom"" is a ceremony at traditional Uzbek weddings in which the new bride does what?","Проїжджає верхи на прикрашеному коні через село","An'anaviy o'zbek to'ylaridagi ""kelin salom"" marosimida yangi kelin nima qiladi?","Вклоняється і вітає родичів та гостей нареченого","Breaks a plate for good luck","Serpushtlik uchun daraxt ekadi","Кланяется и приветствует родственников и гостей жениха","Проезжает верхом на украшенной лошади через деревню","Plants a tree for fertility","Omad uchun tarelka sindiradi","«Келін салом» — це церемонія на традиційному узбецькому весіллі, під час якої наречена робить що?","Jedzie na ozdobionym koniu przez wieś","Kłania się i wita krewnych oraz gości pana młodego","cc22e10c968f43e6bb4ce407","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Весільне застілля","Что такое «ифторлик» в узбекской исламской традиции?","Паломництво до Мекки","A","The meal that breaks the daily fast during Ramadan","Czym jest ""iftorlik"" w uzbeckiej tradycji islamskiej?","Паломничество в Мекку","Bomdod namozi","Свадебное застолье","Ramazon oyida kunlik ro'zani ochish taomi","A morning prayer","Pielgrzymka do Mekki","Uczta weselna","What is ""iftorlik"" in Uzbek Islamic tradition?","Ранкова молитва","O'zbek islom an'analarida ""iftorlik"" nima?","Трапеза, якою закінчують щоденний піст у Рамадан","A pilgrimage to Mecca","To'y ziyofati","Трапеза, которой заканчивают ежедневный пост в Рамадан","Утренняя молитва","A wedding feast","Makkaga haj safari","Що таке «ифторлик» в узбецькій ісламській традиції?","Poranna modlitwa","Posiłek kończący codzienny post podczas Ramadanu","9b53171ba37f4cc7bba825db","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Мавлюд","Как называется по-узбекски исламский праздник, известный в других странах как Курбан-байрам («Праздник жертвоприношения»)?","Рузо хайіт","A","Qurbon hayit","Jak nazywa się po uzbecku islamskie święto, znane gdzie indziej jako Kurban-bajram (""Święto Ofiary"")?","Рузо хайит","Navro'z","Мавлюд","Qurbon hayit","Navruz","Roza hajit","Mawlid","What is the Uzbek name for the Islamic holiday known elsewhere as Eid al-Adha, the ""Festival of Sacrifice""?","Навруз","Boshqa mamlakatlarda Qurbon hayit (""Qurbonlik bayrami"") nomi bilan tanilgan islom bayramining o'zbekcha nomi qanday?","Курбон хайіт","Ro'za hayit","Mavlid","Курбон хайит","Навруз","Mavlud","Ro'za hayit","Як називається по-узбецьки ісламське свято, відоме в інших країнах як Курбан-байрам («Свято жертвопринесення»)?","Nowruz","Kurban hajit","bebedcf986754bb0ab42a202","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Мавлюд","Как называется по-узбекски исламский праздник, знаменующий окончание поста в Рамадан, известный в других странах как Ид аль-Фитр?","Курбон хайіт","A","Ro'za hayit","Jak nazywa się po uzbecku islamskie święto oznaczające koniec postu Ramadanu, znane gdzie indziej jako Id al-Fitr?","Курбон хайит","Navro'z","Мавлюд","Ro'za hayit","Navruz","Kurban hajit","Mawlid","What is the Uzbek name for the Islamic holiday marking the end of the Ramadan fast, elsewhere known as Eid al-Fitr?","Навруз","Boshqa mamlakatlarda Iyd al-Fitr nomi bilan tanilgan, Ramazon ro'zasi tugashini bildiruvchi islom bayramining o'zbekcha nomi qanday?","Рузо хайіт","Qurbon hayit","Mavlid","Рузо хайит","Навруз","Mavlud","Qurbon hayit","Як називається по-узбецьки ісламське свято, що знаменує закінчення посту в Рамадан, відоме в інших країнах як Ід аль-Фітр?","Nowruz","Roza hajit","bd48ff81dbdb4d31affaf049","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"«Фольксваген» (Німеччина)","Компания «UzAuto Motors», крупный производитель автомобилей Узбекистана, начиналась как совместное предприятие с каким иностранным автопроизводителем?","«Тойота» (Японія)","A","Daewoo (South Korea)","UzAuto Motors, główny producent samochodów w Uzbekistanie, zaczynał jako wspólne przedsięwzięcie z jakim zagranicznym producentem samochodów?","«Тойота» (Япония)","Ford (AQSH)","«Фольксваген» (Германия)","Daewoo (Janubiy Koreya)","Ford (USA)","Toyota (Japonia)","Volkswagen (Niemcy)","UzAuto Motors, Uzbekistan's major automobile manufacturer, began as a joint venture with which foreign automaker?","«Форд» (США)","O'zbekistonning yirik avtomobil ishlab chiqaruvchisi ""UzAuto Motors"" qaysi xorijiy avtomobilsozlik kompaniyasi bilan qo'shma korxona sifatida boshlangan?","«Деу» (Південна Корея)","Toyota (Japan)","Volkswagen (Germaniya)","«Дэу» (Южная Корея)","«Форд» (США)","Volkswagen (Germany)","Toyota (Yaponiya)","Компанія «UzAuto Motors», великий виробник автомобілів Узбекистану, починалася як спільне підприємство з яким іноземним автовиробником?","Ford (USA)","Daewoo (Korea Południowa)","f8b2cd4f74254967bf79e2c1","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Хорезмській області","Асака, центр автомобилестроительной промышленности Узбекистана, находится в каком регионе?","Самаркандській області","A","Andijan Region","Asaka, centrum przemysłu motoryzacyjnego Uzbekistanu, znajduje się w którym regionie?","Самаркандской области","Buxoro viloyatida","Хорезмской области","Andijon viloyatida","Bukhara Region","Regionie Samarkandzkim","Regionie Chorezmskim","Asaka, the hub of Uzbekistan's automobile manufacturing industry, is located in which region?","Бухарській області","O'zbekistonning avtomobilsozlik sanoati markazi bo'lgan Asaka qaysi viloyatda joylashgan?","Андижанській області","Samarkand Region","Xorazm viloyatida","Андижанской области","Бухарской области","Khorazm Region","Samarqand viloyatida","Асака, центр автомобілебудівної промисловості Узбекистану, знаходиться в якому регіоні?","Regionie Bucharskim","Regionie Andiżańskim","c7a1c76423794eb8b958517c","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Улугбека","В честь какой исторической личности официально назван главный международный аэропорт Ташкента?","Аміра Темура","A","Islam Karimov","Imieniem której postaci historycznej oficjalnie nazwano główne międzynarodowe lotnisko Taszkentu?","Амира Темура","Alisher Navoiy","Улугбека","Islom Karimov","Alisher Navoiy","Amira Timura","Ulugbeka","Tashkent's main international airport is officially named after which historical figure?","Алішера Навої","Toshkentning bosh xalqaro aeroporti rasman qaysi tarixiy shaxs nomi bilan atalgan?","Іслама Карімова","Amir Temur","Ulug'bek","Ислама Каримова","Алишера Навои","Ulugbek","Amir Temur","На честь якої історичної особи офіційно названо головний міжнародний аеропорт Ташкента?","Alishera Nawoiego","Islama Karimowa","02c87b497b644ae9977b57c1","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Чотири","Сколько часовых поясов используется на территории Узбекистана?","Два","A","One (UTC+5)","Ile stref czasowych obowiązuje na terytorium Uzbekistanu?","Два","Uchta","Четыре","Bitta (UTC+5)","Three","Dwie","Cztery","How many time zones does Uzbekistan use across its territory?","Три","O'zbekiston hududida nechta vaqt mintaqasi qo'llaniladi?","Один (UTC+5)","Two","To'rtta","Один (UTC+5)","Три","Four","Ikkita","Скільки часових поясів використовується на території Узбекистану?","Trzy","Jedna (UTC+5)","0e349169b3ec4a74b63d7d45","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Не мати жодної постійної річки","Наряду с Лихтенштейном, Узбекистан является одной из всего двух стран мира, обладающих каким необычным географическим статусом?","Не мати офіційної столиці","A","Being ""doubly landlocked"" (surrounded only by landlocked countries)","Wraz z Liechtensteinem, Uzbekistan jest jednym z tylko dwóch krajów na świecie o jakim niezwykłym statusie geograficznym?","Не иметь официальной столицы","Bir vaqtning o'zida to'rtta vaqt mintaqasida joylashish","Не иметь ни одной постоянной реки","""Ikki marta quruqlikka o'ralgan"" bo'lish (faqat quruqlikka o'ralgan davlatlar bilan chegaradosh)","Straddling four different time zones","Brak oficjalnej stolicy","Brak stałych rzek","Along with Liechtenstein, Uzbekistan is one of only two countries in the world with what unusual geographic status?","Перебувати одразу в чотирьох часових поясах","Lixtenshteyn bilan bir qatorda, O'zbekiston dunyodagi qanday g'ayrioddiy geografik maqomga ega bo'lgan bor-yo'g'i ikkita davlatdan biri hisoblanadi?","Бути «двічі суходільним» (оточеним лише суходільними країнами)","Having no official capital city","Doimiy daryosi bo'lmaslik","Быть «дважды сухопутным» (окружённым только сухопутными странами)","Находиться сразу в четырёх часовых поясах","Having no permanent rivers","Rasmiy poytaxtga ega bo'lmaslik","Разом з Ліхтенштейном, Узбекистан є однією з лише двох країн світу, що мають який незвичний географічний статус?","Leżenie w czterech strefach czasowych jednocześnie","Bycie ""podwójnie śródlądowym"" (otoczonym wyłącznie krajami śródlądowymi)","b78a0519acea4cfea5615286","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Волейболі","«Пахтакор Ташкент», один из самых именитых клубов Узбекистана, выступает в каком виде спорта?","Баскетболі","A","Football (soccer)","Pachtakor Taszkent, jeden z najbardziej utytułowanych klubów Uzbekistanu, rywalizuje w jakim sporcie?","Баскетболе","Muz xokkeyi","Волейболе","Futbol","Ice hockey","Koszykówce","Siatkówce","Pakhtakor Tashkent, one of Uzbekistan's most storied clubs, competes in which sport?","Хокеї на льоду","O'zbekistonning eng nufuzli klublaridan biri bo'lgan ""Paxtakor Toshkent"" qaysi sport turida o'ynaydi?","Футболі","Basketball","Voleybol","Футболе","Хоккее на льду","Volleyball","Basketbol","«Пахтакор Ташкент», один з найвідоміших клубів Узбекистану, виступає в якому виді спорту?","Hokeju na lodzie","Piłce nożnej","7ba1770e6bad4301bee834f7","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Дім мудрості","Что буквально означает название «Регистан» — знаменитой площади в Самарканде?","Золоті ворота","A","Sandy place","Co dosłownie oznacza nazwa ""Registan"", słynnego placu w Samarkandzie?","Золотые ворота","Qirollik bog'i","Дом мудрости","Qumli joy","Royal garden","Złota brama","Dom mądrości","What does the name ""Registan"", the famous square in Samarkand, literally mean?","Королівський сад","Samarqanddagi mashhur ""Registon"" maydonining nomi so'zma-so'z nimani anglatadi?","Піщане місце","Golden gate","Donishmandlik uyi","Песчаное место","Королевский сад","House of wisdom","Oltin darvoza","Що буквально означає назва «Регістан» — знаменитої площі в Самарканді?","Ogród królewski","Piaszczyste miejsce","dcf7769fce114a38a05df03d","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Суфійського святого","По легенде, в честь кого была построена грандиозная мечеть Биби-Ханым в Самарканде?","Матері Улугбека","A","One of Amir Temur's wives","Według legendy, ku czci kogo zbudowano wspaniały meczet Bibi-Chanym w Samarkandzie?","Матери Улугбека","Xitoy malikasi","Суфийского святого","Amir Temurning xotinlaridan biri","A Chinese princess","Matki Uługbeka","Świętego sufickiego","According to legend, the grand Bibi-Khanym Mosque in Samarkand was built in honor of whom?","Китайської принцеси","Rivoyatga ko'ra, Samarqanddagi ulkan Bibixonim masjidi kimning sharafiga qurilgan?","Однієї з дружин Аміра Темура","Ulugbek's mother","Tasavvuf avliyosi","Одной из жён Амира Темура","Китайской принцессы","A Sufi saint","Ulug'bekning onasi","За легендою, на честь кого була побудована грандіозна мечеть Бібі-Ханум у Самарканді?","Chińskiej księżniczki","Jednej z żon Amira Timura","f074f9aaf4f14ad6881a4d19","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Ташкент","В каком городе находятся руины дворца Ак-Сарай («Белый дворец»), который Тимур задумывал как свою самую грандиозную резиденцию?","Самарканд","A","Shakhrisabz","W którym mieście znajdują się ruiny pałacu Ak-Saraj (""Biały Pałac""), który Timur zamierzał uczynić swoją najwspanialszą rezydencją?","Самарканд","Buxoro","Ташкент","Shahrisabz","Bukhara","Samarkanda","Taszkent","Ak-Saray, the ruined ""White Palace"" that Timur intended to be his grandest residence, is located in which city?","Бухара","Temur o'zining eng ulug'vor qarorgohi sifatida rejalashtirgan, xarobaga aylangan Oqsaroy (""Oq saroy"") qaysi shaharda joylashgan?","Шахрісабз","Samarkand","Toshkent","Шахрисабз","Бухара","Tashkent","Samarqand","У якому місті знаходяться руїни палацу Ак-Сарай («Білий палац»), який Тимур задумував як свою найграндіознішу резиденцію?","Buchara","Szachrisabz","24111c123da74b8aa61a2e55","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Індуїзму","Древние руины Фаяз-Тепа возле Термеза, где некогда жили монахи и стояли ступы, относятся к памятникам какой религии?","Зороастризму","A","Buddhism","Starożytne ruiny Fajoz-Tepa koło Termezu, gdzie niegdyś mieszkali mnisi i stały stupy, są pozostałościami związanymi z jaką religią?","Зороастризма","Manixeylik","Индуизма","Buddizm","Manichaeism","Zoroastryzmu","Hinduizmu","Fayoz-Tepa, ancient ruins near Termez that once housed monks and stupas, are remains of a site connected to which religion?","Маніхейства","Termiz yaqinidagi qadimda rohiblar va stupalar joylashgan Fayoztepa xarobalari qaysi din bilan bog'liq yodgorlik hisoblanadi?","Буддизму","Zoroastrianism","Hinduizm","Буддизма","Манихейства","Hinduism","Zardushtiylik","Стародавні руїни Фаяз-Тепа біля Термеза, де колись жили ченці й стояли ступи, є пам'ятками якої релігії?","Manicheizmu","Buddyzmu","f368809f6b9b4342bf263831","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Битви при Манцикерті","Согласно известному преданию, после какого сражения VIII века Самарканд стал одним из первых центров производства бумаги в исламском мире?","Битви при Бадрі","A","The Battle of Talas (751)","Według znanej tradycyjnej relacji, po której bitwie z VIII wieku Samarkanda stała się wczesnym centrum produkcji papieru w świecie islamskim?","Битвы при Бадре","Anqara jangi","Битвы при Манцикерте","Talas jangi (751-yil)","The Battle of Ankara","Bitwy pod Badr","Bitwy pod Manzikertem","According to a well-known traditional account, following which 8th-century battle did Samarkand become an early center of papermaking in the Islamic world?","Битви при Анкарі","Mashhur an'anaviy rivoyatga ko'ra, VIII asrdagi qaysi jangdan keyin Samarqand islom dunyosidagi qog'oz ishlab chiqarishning ilk markazlaridan biriga aylangan?","Битви при Таласі (751 р.)","The Battle of Badr","Manzikert jangi","Битвы при Таласе (751 г.)","Битвы при Анкаре","The Battle of Manzikert","Badr jangi","Згідно з відомим переказом, після якої битви VIII століття Самарканд став одним із перших центрів виробництва паперу в ісламському світі?","Bitwy pod Ankarą","Bitwy pod Talas (751 r.)","8888f817b3b54d04b0bb0c1c","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Туркменська","Какой язык, помимо узбекского, имеет официальный региональный статус именно в Республике Каракалпакстан?","Таджицька","A","Karakalpak","Który język, oprócz uzbeckiego, ma oficjalny status regionalny konkretnie w Republice Karakałpakstanu?","Таджикский","Qozoq tili","Туркменский","Qoraqalpoq tili","Kazakh","Tadżycki","Turkmeński","Which language, besides Uzbek, holds official regional status specifically within the Republic of Karakalpakstan?","Казахська","O'zbek tilidan tashqari, aynan Qoraqalpog'iston Respublikasida qaysi til rasmiy mintaqaviy maqomga ega?","Каракалпацька","Tajik","Turkman tili","Каракалпакский","Казахский","Turkmen","Tojik tili","Яка мова, окрім узбецької, має офіційний регіональний статус саме в Республіці Каракалпакстан?","Kazachski","Karakałpacki","c9eed393d3bf43c58cddc52f","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"1900","В каком году Бухарский эмират стал протекторатом Российской империи?","1876","A","1868","W którym roku Emirat Bucharski stał się protektoratem Imperium Rosyjskiego?","1876","1855-yil","1900","1868-yil","1855","1876","1900","In what year did the Emirate of Bukhara become a protectorate of the Russian Empire?","1855","Buxoro amirligi qaysi yilda Rossiya imperiyasining protektoratiga aylangan?","1868","1876","1900-yil","1868","1855","1900","1876-yil","У якому році Бухарський емірат став протекторатом Російської імперії?","1855","1868","071406d9cd814184aeae44dc","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"1917","В каком году Хивинское ханство стало протекторатом Российской империи?","1865","A","1873","W którym roku Chanat Chiwy stał się protektoratem Imperium Rosyjskiego?","1865","1885-yil","1917","1873-yil","1885","1865","1917","In what year did the Khanate of Khiva become a protectorate of the Russian Empire?","1885","Xiva xonligi qaysi yilda Rossiya imperiyasining protektoratiga aylangan?","1873","1865","1917-yil","1873","1885","1917","1865-yil","У якому році Хивинське ханство стало протекторатом Російської імперії?","1885","1873","6a61c53cd2e34306a1383c66","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Микола II","Кто был первым генерал-губернатором Русского Туркестана, назначенным в 1867 году и базировавшимся в Ташкенте?","Олексій Куропаткін","A","Konstantin von Kaufman","Kto był pierwszym Gubernatorem Generalnym Turkiestanu Rosyjskiego, mianowanym w 1867 roku i stacjonującym w Taszkencie?","Алексей Куропаткин","Mixail Skobelev","Николай II","Konstantin fon Kaufman","Mikhail Skobelev","Aleksiej Kuropatkin","Mikołaj II","Who was the first Governor-General of Russian Turkestan, appointed in 1867 and based in Tashkent?","Михайло Скобелєв","1867-yilda tayinlangan va Toshkentda joylashgan Rossiya Turkistonining birinchi general-gubernatori kim edi?","Костянтин фон Кауфман","Alexei Kuropatkin","Nikolay II","Константин фон Кауфман","Михаил Скобелев","Nicholas II","Aleksey Kuropatkin","Хто був першим генерал-губернатором Російського Туркестану, призначеним у 1867 році та базувався в Ташкенті?","Michaił Skobielew","Konstanty von Kaufman","f227c0f3e11f43849188d6da","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
