"question_text_en","time_limit","subject","options_en","target_language","correct_answer","options_uz","points","options_pl","question_text_az","options_tr","question_text_pl","explanation_ru","options_az","question_text_tr","explanation_tr","question_text_ru","explanation_pl","explanation_az","source_language","options_ru","difficulty","explanation_en","explanation_uz","question_text_uz","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Which European country is divided into regions called 'Cantons'?","12","geography","[""Austria"",""Belgium"",""Switzerland"",""Luxembourg""]","","2","[""Avstriya"",""Belgiya"",""Shveytsariya"",""Lyuksemburg""]","1","[""Austria"",""Belgium"",""Switzerland"",""Luxembourg""]","Avropanın hansı ölkəsi ""Kantonlar"" adlanan bölgələrə bölünür?","[""Avusturya"",""Belçika"",""İsviçre"",""Lüksemburg""]","Który kraj europejski jest podzielony na regiony zwane kantonami?","","[""Avstriya"",""Belçika"",""İsveçrə"",""Lüksemburq""]","Avrupa'da 'kanton' adı verilen bölgelere ayrılan ülke hangisidir?","","Какая европейская страна разделена на регионы, называемые ""кантонами""?","","","","[""Австрия"",""Бельгия"",""Швейцария"",""Люксембург""]","5","","","Qaysi Yevropa davlati ""Kantonlar"" deb nomlangan mintaqalarga bo'lingan?","69866f8b7fa5246c2d2acc22","2026-02-06T22:47:39.630000","2026-07-08T22:33:47.932000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"The Gobi Desert is primarily located in which two countries?","12","geography","[""China and Mongolia"",""China and India"",""Mongolia and Russia"",""India and Pakistan""]","","0","[""Xitoy va Mo'g'uliston"",""Xitoy va Hindiston"",""Mo'g'uliston va Rossiya"",""Hindiston va Pokiston""]","1","[""Chiny i Mongolia"",""Chiny i Indie"",""Mongolia i Rosja"",""Indie i Pakistan""]","Qobi səhrası əsasən hansı iki ölkədə yerləşir?","[""Çin ve Moğolistan"",""Çin ve Hindistan"",""Moğolistan ve Rusya"",""Hindistan ve Pakistan""]","Pustynia Gobi znajduje się głównie na terenie jakich dwóch państw?","","[""Çin və Monqolustan"",""Çin və Hindistan"",""Monqolustan və Rusiya"",""Hindistan və Pakistan""]","Gobi Çölü esas olarak hangi iki ülkede yer almaktadır?","","Пустыня Гоби в основном расположена на территории каких двух стран?","","","","[""Китай и Монголия"",""Китай и Индия"",""Монголия и Россия"",""Индия и Пакистан""]","5","","","Gobi cho'li asosan qaysi ikki mamlakat hududida joylashgan?","69866f8bf456a115c81e790e","2026-02-06T22:47:39.476000","2026-07-08T22:33:49.136000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which is the only country that is also a continent?","12","geography","[""Madagascar"",""Antarctica"",""Australia"",""Greenland""]","","2","[""Madagaskar"",""Antarktida"",""Avstraliya"",""Grenlandiya""]","1","[""Madagascar"",""Antarctica"",""Australia"",""Greenland""]","Eyni zamanda qitə olan yeganə ölkə hansıdır?","[""Madagaskar"",""Antarktika"",""Avustralya"",""Grönland""]","Który kraj jest jednocześnie kontynentem?","","[""Madaqaskar"",""Antarktida"",""Avstraliya"",""Qrenlandiya""]","Hem ülke hem de kıta olan tek ülke hangisidir?","","Какая страна является единственной страной, которая одновременно является континентом?","Australia jest jedynym państwem na świecie, które obejmuje cały kontynent.","","","[""Мадагаскар"",""Антарктида"",""Австралия"",""Гренландия""]","5","","","Qit'a bo'lgan yagona mamlakat qaysi?","69866f8b75656f5e83f89f80","2026-02-06T22:47:39.347000","2026-07-08T22:33:56.783000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is the capital of Vietnam?","12","geography","[""Ho Chi Minh City"",""Da Nang"",""Hanoi"",""Hue""]","","2","[""Xshimin shahri"",""Da Nang"",""Xanoy"",""Hyu""]","1","[""Ho Chi Minh City"",""Da Nang"",""Hanoi"",""Hue""]","Vyetnamın paytaxtı nədir?","[""Ho Chi Minh Şehri"",""Da Nang"",""Hanoi"",""Hue""]","Jaka jest stolica Wietnamu?","","[""Ho Chi Minh City"",""Da Nang"",""Hanoi"",""Hue""]","Vietnam'ın başkenti neresidir?","","Какова столица Вьетнама?","","","","[""Хошимин"",""Дананг"",""Ханой"",""Хюэ""]","5","","","Vetnam poytaxti nima?","69866f8b72cc387b747dae5d","2026-02-06T22:47:39.253000","2026-07-08T22:33:58.279000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which South American country has both a Pacific and a Caribbean coastline?","12","geography","[""Venezuela"",""Colombia"",""Panama"",""Ecuador""]","","1","[""Venesuela"",""Kolumbiya"",""Panama"",""Ekvador""]","1","[""Venezuela"",""Colombia"",""Panama"",""Ecuador""]","Cənubi Amerikanın hansı ölkəsində həm Sakit okean, həm də Karib dənizi sahilləri var?","[""Venezuela"",""Kolombiya"",""Panama"",""Ekvador""]","Który kraj Ameryki Południowej posiada linię brzegową zarówno nad Oceanem Spokojnym, jak i Morzem Karaibskim?","","[""Venesuela"",""Kolumbiya"",""Panama"",""Ekvador""]","Güney Amerika'da hem Pasifik hem de Karayip kıyı şeridine sahip olan ülke hangisidir?","","Какая южноамериканская страна имеет как тихоокеанское, так и карибское побережье?","Kolumbia jest jedynym krajem w Ameryce Południowej, który ma dostęp zarówno do Oceanu Spokojnego, jak i do Morza Karaibskiego (część Oceanu Atlantyckiego).","","","[""Венесуэла"",""Колумбия"",""Панама"",""Эквадор""]","5","","","Janubiy Amerikaning qaysi davlati ham Tinch okeani, ham Karib dengizi qirg'oqlariga ega?","69866f8b7c055c3b52ef7587","2026-02-06T22:47:39.117000","2026-07-08T22:34:04.031000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which sea is located between Korea and China?","12","geography","[""South China Sea"",""Yellow Sea"",""Sea of Japan"",""East China Sea""]","","1","[""Janubiy Xitoy dengizi"",""Sariq dengiz"",""Yaponiya dengizi"",""Sharqiy Xitoy dengizi""]","1","[""Morze Południowochińskie"",""Morze Żółte"",""Morze Japońskie"",""Morze Wschodniochińskie""]","Koreya ilə Çin arasında hansı dəniz yerləşir?","[""Güney Çin Denizi"",""Sarı Deniz"",""Japon Denizi"",""Doğu Çin Denizi""]","Które morze znajduje się między Koreą a Chinami?","","[""Cənubi Çin dənizi"",""Sarı dəniz"",""Yapon dənizi"",""Şərqi Çin dənizi""]","Kore ve Çin arasında hangi deniz bulunur?","","Какое море находится между Кореей и Китаем?","","","","[""Южно-Китайское море"",""Желтое море"",""Японское море"",""Восточно-Китайское море""]","5","","","Koreya va Xitoy o'rtasida qaysi dengiz joylashgan?","69866f8b16c48dcb100a1334","2026-02-06T22:47:39.009000","2026-07-08T22:34:05.504000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Mount Vesuvius overlooks which modern-day Italian city?","12","geography","[""Rome"",""Naples"",""Florence"",""Venice""]","","1","[""Rim"",""Neapol"",""Florensiya"",""Venetsiya""]","1","[""Rzym"",""Neapol"",""Florencja"",""Wenecja""]","Vezuvi dağı müasir İtaliyanın hansı şəhərinə baxır?","[""Roma"",""Napoli"",""Floransa"",""Venedik""]","Nad jakim współczesnym włoskim miastem góruje Wezuwiusz?","","[""Roma"",""Neapol"",""Florensiya"",""Venesiya""]","Vezüv Yanardağı, günümüzdeki hangi İtalyan şehrine tepeden bakmaktadır?","","Над каким современным итальянским городом возвышается Везувий?","","","","[""Рим"",""Неаполь"",""Флоренция"",""Венеция""]","5","","","Vezuviy tog'i zamonaviy Italiyaning qaysi shahriga qaraydi?","69866f8abc749d165c4c7302","2026-02-06T22:47:38.889000","2026-07-08T22:34:06.630000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is the capital city of Australia?","12","geography","[""Sydney"",""Melbourne"",""Canberra"",""Perth""]","","2","[""Sidney"",""Melburn"",""Kanberra"",""Pert""]","1","[""Sydney"",""Melbourne"",""Canberra"",""Perth""]","Avstraliyanın paytaxtı hansıdır?","[""Sydney"",""Melbourne"",""Canberra"",""Perth""]","Jakie jest miasto stołeczne Australii?","","[""Sidney"",""Melburn"",""Kanberra"",""Pert""]","Avustralya'nın başkenti neresidir?","","Какая столица Австралии?","","","","[""Сидней"",""Мельбурн"",""Канберра"",""Перт""]","5","","","Avstraliyaning poytaxti qaysi shahar?","69866f8a75f1c2370b692fdb","2026-02-06T22:47:38.668000","2026-07-08T22:34:07.619000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which US state is the closest to the continent of Africa?","12","geography","[""Florida"",""Maine"",""South Carolina"",""North Carolina""]","","1","[""Florida"",""Meyn"",""Janubiy Karolina"",""Shimoliy Karolina""]","1","[""Florida"",""Maine"",""South Carolina"",""North Carolina""]","ABŞ-ın Afrika qitəsinə ən yaxın ştatı hansıdır?","[""Florida"",""Maine"",""Güney Carolina"",""Kuzey Carolina""]","Który stan USA znajduje się najbliżej kontynentu afrykańskiego?","","[""Florida"",""Men"",""Cənubi Karolina"",""Şimali Karolina""]","Amerika Birleşik Devletleri'nin hangi eyaleti Afrika kıtasına en yakındır?","","Какой штат США находится ближе всего к африканскому континенту?","Stany Zjednoczone położone na wschodnim wybrzeżu są bliżej Afryki niż te na zachodnim, a stan Maine jest wysunięty najdalej na wschód spośród wymienionych.","","","[""Флорида"",""Мэн"",""Южная Каролина"",""Северная Каролина""]","5","","","AQShning qaysi shtati Afrika qit'asiga eng yaqin?","69866f8afb6fe137d3578bd2","2026-02-06T22:47:38.561000","2026-07-08T22:34:09.507000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is the largest country in Africa by land area?","12","geography","[""Nigeria"",""Sudan"",""Algeria"",""Democratic Republic of the Congo""]","","2","[""Nigeriya"",""Sudan"",""Jazoir"",""Kongo Demokratik Respublikasi""]","1","[""Nigeria"",""Sudan"",""Algieria"",""Demokratyczna Republika Konga""]","Afrikanın ərazisinə görə ən böyük ölkəsi hansıdır?","[""Nijerya"",""Sudan"",""Cezayir"",""Demokratik Kongo Cumhuriyeti""]","Który kraj w Afryce jest największy pod względem powierzchni?","","[""Nigeriya"",""Sudan"",""Əlcəzair"",""Konqo Demokratik Respublikası""]","Afrika'da yüzölçümü bakımından en büyük ülke hangisidir?","","Какая страна в Африке является крупнейшей по площади территории?","","","","[""Нигерия"",""Судан"",""Алжир"",""Демократическая Республика Конго""]","5","","","Afrikadagi quruqlik maydoni bo'yicha eng katta davlat qaysi?","69866f8a026d17a1ccd9dc91","2026-02-06T22:47:38.447000","2026-07-08T22:34:10.746000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which body of water separates the island of Ireland from Great Britain?","12","geography","[""The English Channel"",""The Irish Sea"",""The North Sea"",""The Celtic Sea""]","","1","[""Ingliz kanali"",""Irlandiya dengizi"",""Shimoliy dengiz"",""Kelt dengizi""]","1","[""Kanał La Manche"",""Morze Irlandzkie"",""Morze Północne"",""Morze Celtyckie""]","İrlandiya adasını Böyük Britaniyadan hansı su hövzəsi ayırır?","[""İngiliz Kanalı"",""İrlanda Denizi"",""Kuzey Denizi"",""Kelt Denizi""]","Który akwen oddziela wyspę Irlandię od Wielkiej Brytanii?","","[""İngilis Kanalı"",""İrlandiya dənizi"",""Şimal dənizi"",""Kelt dənizi""]","İrlanda adasını Büyük Britanya'dan hangi su kütlesi ayırır?","","Какой водоём отделяет остров Ирландия от Великобритании?","","","","[""Ла-Манш"",""Ирландское море"",""Северное море"",""Кельтское море""]","5","","","Irlandiya orolini Buyuk Britaniyadan qaysi suv havzasi ajratib turadi?","69866f8a2806d9f188866548","2026-02-06T22:47:38.345000","2026-07-08T22:34:11.945000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"In which country would you find the ruins of Petra?","12","geography","[""Egypt"",""Jordan"",""Syria"",""Iraq""]","","1","[""Misr"",""Iordaniya"",""Suriya"",""Iroq""]","1","[""Egipt"",""Jordania"",""Syria"",""Irak""]","Petra xarabalıqlarını hansı ölkədə tapa bilərsiniz?","[""Mısır"",""Ürdün"",""Suriye"",""Irak""]","W którym kraju znajdują się ruiny Petry?","","[""Misir"",""İordaniya"",""Suriya"",""İraq""]","Petra kalıntılarını hangi ülkede bulabilirsiniz?","","В какой стране находятся руины Петры?","","","","[""Египет"",""Иордания"",""Сирия"",""Ирак""]","5","","","Petra xarobalarini qaysi mamlakatda topasiz?","69866f8ac0e86ce7278bca83","2026-02-06T22:47:38.223000","2026-07-08T22:38:29.560000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Through which country does the Equator and the Tropic of Capricorn both pass?","12","geography","[""Australia"",""Brazil"",""Ecuador"",""Kenya""]","","1","[""Avstraliya"",""Braziliya"",""Ekvador"",""Keniya""]","1","[""Australia"",""Brazil"",""Ecuador"",""Kenya""]","Ekvator və Oğlaq bürcü hansı ölkədən keçir?","[""Avustralya"",""Brezilya"",""Ekvador"",""Kenya""]","Przez który kraj przebiega zarówno równik, jak i zwrotnik Koziorożca?","","[""Avstraliya"",""Braziliya"",""Ekvador"",""Keniya""]","Ekvator ve Oğlak Dönencesi hangi ülkeden geçer?","","Через какую страну проходят экватор и тропик Козерога?","Brazylia jest jedynym krajem na świecie, przez którego terytorium przechodzą zarówno równik, jak i zwrotnik Koziorożca.","","","[""Австралия"",""Бразилия"",""Эквадор"",""Кения""]","5","","","Ekvator va Egg Tropikasi qaysi mamlakat orqali o'tadi?","69866f8a38ffa11954ef128e","2026-02-06T22:47:38.111000","2026-07-08T22:38:31.638000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is the capital of Iceland?","12","geography","[""Reykjavík"",""Akureyri"",""Keflavík"",""Hofn""]","","0","[""Reykyavik"",""Akureyri"",""Keflavik"",""Xofn""]","1","[""Reykjavík"",""Akureyri"",""Keflavík"",""Hofn""]","İslandiyanın paytaxtı nədir?","[""Reykjavík"",""Akureyri"",""Keflavík"",""Hofn""]","Jaka jest stolica Islandii?","","[""Reykyavik"",""Akureyri"",""Keflavik"",""Hofn""]","İzlanda'nın başkenti neresidir?","","Какова столица Исландии?","","","","[""Рейкьявик"",""Акурейри"",""Кеблавик"",""Хофн""]","5","","","Islandiyaning poytaxti nima?","69866f8ac9e0f1e9c079ee35","2026-02-06T22:47:38.017000","2026-07-08T22:38:33.113000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which country is entirely surrounded by South Africa?","12","geography","[""Namibia"",""Lesotho"",""Eswatini"",""Botswana""]","","1","[""Namibiya"",""Lesoto"",""Esvatini"",""Botsvana""]","1","[""Namibia"",""Lesotho"",""Eswatini"",""Botswana""]","Hansı ölkə tamamilə Cənubi Afrika ilə əhatə olunub?","[""Namibya"",""Lesoto"",""Esvatini"",""Botsvana""]","Który kraj jest w całości otoczony przez Republikę Południowej Afryki?","","[""Namibiya"",""Lesoto"",""Esvatini"",""Botsvana""]","Güney Afrika tarafından tamamen çevrili olan ülke hangisidir?","","Какая страна полностью окружена Южной Африкой?","Lesotho to enklawa w całości otoczona przez terytorium Republiki Południowej Afryki.","","","[""Намибия"",""Лесото"",""Эсватини"",""Ботсвана""]","5","","","Qaysi davlat butunlay Janubiy Afrika bilan o'ralgan?","69866f8931b2618b46dfe80c","2026-02-06T22:47:37.918000","2026-07-08T22:38:50.517000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is ""Moore's Law""?","12","technology","[""Law about internet speed"",""The number of transistors on a chip doubles every two years"",""A law against hacking"",""A law for free software""]","","1","[""Internet tezligi to'g'risidagi qonun"",""Chipdagi tranzistorlar soni har ikki yilda ikki baravar ko'payadi"",""Xakerlikka qarshi qonun"",""Bepul dasturiy ta'minot uchun qonun""]","1","[""Prawo dotyczące szybkości Internetu"",""Liczba tranzystorów w układzie scalonym podwaja się mniej więcej co dwa lata"",""Prawo wymierzone w hakerstwo"",""Prawo dotyczące darmowego oprogramowania""]","""Mur qanunu"" nədir?","[""İnternet hızıyla ilgili yasa"",""Bir çip üzerindeki transistör sayısı her iki yılda bir ikiye katlanıyor"",""Siber saldırılara karşı yasa"",""Ücretsiz yazılım yasası""]","Czym jest „prawo Moore'a”?","","[""İnternet sürəti haqqında qanun"",""Çipdəki tranzistorların sayı hər iki ildən bir iki dəfə artır"",""Hakerliyə qarşı qanun"",""Pulsuz proqram təminatı üçün qanun""]","""Moore Yasası"" nedir?","","Что такое ""закон Мура""?","","","","[""Закон о скорости интернета"",""Количество транзисторов на чипе удваивается каждые два года"",""Закон против хакерства"",""Закон о свободном программном обеспечении""]","5","","","""Mur qonuni"" nima?","69866f89ebc9ec4a8c248ed6","2026-02-06T22:47:37.096000","2026-07-08T22:38:55.214000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is ""E-commerce""?","12","technology","[""Sending emails"",""Buying or selling of goods online"",""A type of computer memory"",""Online gaming""]","","1","[""Elektron pochta xabarlarini yuborish"",""Onlayn tovarlarni sotib olish yoki sotish"",""Kompyuter xotirasining bir turi"",""Onlayn o'yinlar""]","1","[""Wysyłanie e-maili"",""Kupowanie lub sprzedawanie towarów przez Internet"",""Rodzaj pamięci komputerowej"",""Gry online""]","""Elektron ticarət"" nədir?","[""E-posta gönderme"",""Çevrimiçi mal alım satımı"",""Bir tür bilgisayar belleği"",""Çevrimiçi oyun""]","Czym jest ""E-commerce""?","","[""E-poçt göndərmək"",""Onlayn malların alınması və ya satışı"",""Kompüter yaddaşının bir növü"",""Onlayn oyunlar""]","""E-ticaret"" nedir?","","Что такое ""электронная коммерция""?","","","","[""Отправка электронных писем"",""Покупка или продажа товаров онлайн"",""Тип компьютерной памяти"",""Онлайн-игры""]","5","","","""Elektron tijorat"" nima?","69866f88491de132d60ec4a7","2026-02-06T22:47:36.997000","2026-07-08T22:38:58.299000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What does ""FTP"" stand for?","12","technology","[""File Transfer Protocol"",""Fast Tech Path"",""File Type Program"",""Firmware Transfer Page""]","","0","[""Fayl uzatish protokoli"",""Tezkor texnik yo'l"",""Fayl turi dasturi"",""Dasturiy ta'minot uzatish sahifasi""]","1","[""File Transfer Protocol"",""Fast Tech Path"",""File Type Program"",""Firmware Transfer Page""]","""FTP"" nə deməkdir?","[""Dosya Aktarım Protokolü"",""Hızlı Teknoloji Yolu"",""Dosya Türü Programı"",""Ürün Yazılımı Aktarım Sayfası""]","Co oznacza skrót ""FTP""?","","[""Fayl Köçürmə Protokolu"",""Sürətli Texniki Yol"",""Fayl Növü Proqramı"",""Proqram Köçürmə Səhifəsi""]","""FTP"" ne anlama geliyor?","","Что означает аббревиатура ""FTP""?","","","","[""Протокол передачи файлов"",""Быстрый технологический путь"",""Программа типа файла"",""Страница передачи прошивки""]","5","","","""FTP"" nimani anglatadi?","69866f88203a613b453b758a","2026-02-06T22:47:36.899000","2026-07-08T22:39:01.699000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is a ""Search Engine""?","12","technology","[""A browser like Chrome"",""A program that searches for info on the web"",""A fast CPU"",""A type of social media""]","","1","[""Chrome kabi brauzer"",""Internetda ma'lumot qidiradigan dastur"",""Tezkor protsessor"",""Ijtimoiy media turi""]","1","[""Przeglądarka internetowa taka jak Chrome"",""Program służący do wyszukiwania informacji w sieci"",""Szybki procesor (CPU)"",""Rodzaj portalu społecznościowego""]","""Axtarış Sistemi"" nədir?","[""Chrome gibi bir tarayıcı"",""İnternette bilgi arayan bir program"",""Hızlı bir işlemci"",""Bir tür sosyal medya""]","Czym jest ""wyszukiwarka internetowa""?","","[""Chrome kimi brauzer"",""İnternetdə məlumat axtaran proqram"",""Sürətli CPU"",""Sosial medianın bir növü""]","""Arama motoru"" nedir?","","Что такое ""поисковая система""?","","","","[""Брайвер, похожий на Chrome"",""Программа для поиска информации в интернете"",""Быстрый процессор"",""Разновидность социальной сети""]","5","","","""Qidiruv tizimi"" nima?","69866f88572ccd574b9e749f","2026-02-06T22:47:36.800000","2026-07-08T22:39:02.860000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is ""Quantum Computing""?","12","technology","[""Very small computers"",""Computing based on quantum mechanics (qubits)"",""A type of fast gaming PC"",""Computing in space""]","","1","[""Juda kichik kompyuterlar"",""Kvant mexanikasiga asoslangan hisoblashlar (kubitlar)"",""Tezkor o'yin kompyuterining bir turi"",""Kosmosda hisoblash""]","1","[""Bardzo małe komputery"",""Obliczenia oparte na mechanice kwantowej (kubity)"",""Rodzaj szybkiego komputera do gier"",""Obliczenia w przestrzeni kosmicznej""]","""Kvant Hesablama"" nədir?","[""Çok küçük bilgisayarlar"",""Kuantum mekaniğine (kübitlere) dayalı hesaplama"",""Hızlı bir oyun bilgisayarı türü"",""Uzayda hesaplama""]","Czym jest ""informatyka kwantowa"" (Quantum Computing)?","","[""Çox kiçik kompüterlər"",""Kvant mexanikasına əsaslanan hesablamalar (kubitlər)"",""Sürətli oyun kompüterinin bir növü"",""Kosmosda hesablamalar""]","""Kuantum Hesaplama"" nedir?","","Что такое ""квантовые вычисления""?","","","","[""Очень маленькие компьютеры"",""Вычисления на основе квантовой механики (кубиты)"",""Быстрый игровой ПК"",""Вычисления в космосе""]","5","","","""Kvant hisoblash"" nima?","69866f88209d75eda53810d5","2026-02-06T22:47:36.690000","2026-07-08T22:39:04.927000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What does ""ASCII"" stand for?","12","technology","[""American Standard Code for Information Interchange"",""Apple Standard Code"",""Advanced System Code"",""All Standard Code""]","","0","[""Axborot almashinuvi uchun Amerika standart kodi"",""Apple standart kodi"",""Kengaytirilgan tizim kodi"",""Barcha standart kodlar""]","1","[""American Standard Code for Information Interchange"",""Apple Standard Code"",""Advanced System Code"",""All Standard Code""]","""ASCII"" nəyi ifadə edir?","[""Amerikan Bilgi Alışverişi Standart Kodu"",""Apple Standart Kodu"",""Gelişmiş Sistem Kodu"",""Tüm Standart Kodlar""]","Co oznacza skrót „ASCII”?","","[""Məlumat Mübadiləsi üçün Amerika Standart Kodu"",""Apple Standart Kodu"",""Qabaqcıl Sistem Kodu"",""Bütün Standart Kodlar""]","""ASCII"" ne anlama geliyor?","","Что означает аббревиатура ""ASCII""?","","","","[""Американский стандартный код для обмена информацией"",""Стандартный код Apple"",""Расширенный системный код"",""Все стандартные коды""]","5","","","""ASCII"" nimani anglatadi?","69866f880d94bca057ab5dba","2026-02-06T22:47:36.591000","2026-07-08T22:39:06.015000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which key on a keyboard is used to indent a paragraph?","12","technology","[""Enter"",""Shift"",""Tab"",""Space""]","","2","[""Enter"",""Shift"",""Tab"",""Bo'sh joy""]","1","[""Enter"",""Shift"",""Tab"",""Space""]","Abzası daxil etmək üçün klaviaturada hansı düymədən istifadə olunur?","[""Enter"",""Shift"",""Tab"",""Boşluk""]","Który klawisz na klawiaturze służy do robienia wcięcia akapitu?","","[""Daxil et"",""Şəkil"",""Tab"",""Boşluq""]","Klavyede paragraf girintisi oluşturmak için hangi tuş kullanılır?","","Какая клавиша на клавиатуре используется для отступа абзаца?","","","","[""Enter"",""Shift"",""Tab"",""Space""]","5","","","Klaviaturadagi qaysi tugma paragrafni ichkariga kiritish uchun ishlatiladi?","69866f87b26ade4422e4956f","2026-02-06T22:47:35.352000","2026-07-08T22:39:08.155000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is ""OpenAI"" famous for creating?","12","technology","[""Windows"",""iPhone"",""ChatGPT"",""Facebook""]","","2","[""Windows"",""iPhone"",""ChatGPT"",""Facebook""]","1","[""Windows"",""iPhone"",""ChatGPT"",""Facebook""]","""OpenAI"" nə ilə məşhurdur?","[""Windows"",""iPhone"",""ChatGPT"",""Facebook""]","Z czego słynie OpenAI?","","[""Windows"",""iPhone"",""ChatGPT"",""Facebook""]","""OpenAI"" ne tür icatlarıyla ünlüdür?","","Чем прославилась компания ""OpenAI""?","","","","[""Windows"",""iPhone"",""ChatGPT"",""Facebook""]","5","","","""OpenAI"" nimalarni yaratishi bilan mashhur?","69866f87c0776beb2d704d9a","2026-02-06T22:47:35.236000","2026-07-08T22:39:09.244000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What does ""DNS"" stand for?","12","technology","[""Domain Name System"",""Digital Network Server"",""Data Node Storage"",""Domain Network Signal""]","","0","[""Domen nomi tizimi"",""Raqamli tarmoq serveri"",""Ma'lumotlar tugunini saqlash"",""Domen tarmog'i signali""]","1","[""Domain Name System"",""Digital Network Server"",""Data Node Storage"",""Domain Network Signal""]","""DNS"" nəyi ifadə edir?","[""Alan Adı Sistemi"",""Dijital Ağ Sunucusu"",""Veri Düğümü Depolama"",""Alan Ağı Sinyali""]","Co oznacza skrót „DNS”?","","[""Domen Adı Sistemi"",""Rəqəmsal Şəbəkə Serveri"",""Məlumat Qovşağı Yaddaşı"",""Domen Şəbəkə Siqnalı""]","""DNS"" ne anlama geliyor?","","Что означает аббревиатура ""DNS""?","DNS to skrót od Domain Name System, czyli systemu nazw domenowych, który tłumaczy nazwy domenowe na adresy IP.","","","[""Система доменных имен"",""Цифровой сетевой сервер"",""Хранилище узлов данных"",""Сетевой сигнал домена""]","5","","","""DNS"" nimani anglatadi?","69866f878d277e7f991e40a5","2026-02-06T22:47:35.105000","2026-07-08T22:39:10.403000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
